시군구코드,법정동코드,행정동코드,시도명,시군구명,법정동명,행정동명,적용시작일,적용만료일,lat,lng
11140,12300,0,서울특별시,중구,회현동3가,,19980914,99991231,37.5962736,127.1419836
11140,12000,540,서울특별시,중구,봉래동2가,회현동,19980914,99991231,37.5574536,126.9784157
11140,12700,0,서울특별시,중구,명동2가,,19980914,99991231,37.5962736,127.1419836
11140,14600,590,서울특별시,중구,광희동2가,광희동,19980914,99991231,37.564512,127.004991
11140,12600,0,서울특별시,중구,명동1가,,19980914,99991231,37.5962736,127.1419836
11140,13500,590,서울특별시,중구,예관동,광희동,19980914,99991231,37.564512,127.004991
11140,14700,590,서울특별시,중구,쌍림동,광희동,19980914,99991231,37.564512,127.004991
11140,10500,550,서울특별시,중구,을지로2가,명동,19980914,99991231,37.5608977,126.9863762
11140,10400,550,서울특별시,중구,을지로1가,명동,19980914,99991231,37.5608977,126.9863762
11140,14800,590,서울특별시,중구,을지로6가,광희동,19980914,99991231,37.564512,127.004991
